"","variable_name","dataset","code_list","definition"
"1","budget_tot","Budget",NA,"Total budget required (US Dollars)"
"2","newinc_con","Contacts preventive treatment",NA,"(If screen_data_available=60) Number of household contacts of bacteriologically-confirmed pulmonary new and relapse TB cases"
"3","newinc_con_prevtx","Contacts preventive treatment",NA,"(If prevtx_data_available=60) Number of household contacts of bacteriologically-confirmed pulmonary new and relapse TB cases notified in the reporting year who were started on TB preventive treatment"
"4","newinc_con_screen","Contacts preventive treatment",NA,"(If screen_data_available=60) Number of household contacts of bacteriologically-confirmed pulmonary new and relapse TB cases who were evaluated for active TB and latent TB"
"5","newinc_con_tb","Contacts preventive treatment",NA,"(If screen_data_available=60) Number of household contacts of bacteriologically confirmed pulmonary new and relapse TB cases who were diagnosed with TB disease"
"6","newinc_con04_prevtx","Contacts preventive treatment",NA,"(If prevtx_data_available=60) Number of children aged under 5 started on TB preventive treatment who are household contacts of bacteriologically-confirmed new and relapse TB cases notified"
"7","prevtx_data_available","Contacts preventive treatment","0=No; 60= Yes available from the routine surveillance system; 61=Yes estimated from a review of a random sample of medical records or treatment cards of TB patients representative of the national TB patient population","Are data available on the number of household contacts of TB cases started on TB preventive treatment?"
"8","screen_data_available","Contacts preventive treatment","0=No; 60= Yes available from the routine surveillance system; 61=Yes estimated from a review of a random sample of medical records or treatment cards of TB patients representative of the national TB patient population; 5=Not applicable","Are data available on the number of household contacts of TB cases who were evaluated for TB?"
"9","tpt_short_regimens_used","Contacts preventive treatment","0=No; 1=Yes; 3=Don't know;","Were any shorter TB preventive treatment regimes containing rifampicin or rifapentine used at least once?"
"10","country","Country identification",NA,"Country or territory name"
"11","g_whoregion","Country identification","AFR=Africa; AMR=Americas; EMR=Eastern Mediterranian; EUR=Europe; SEA=South-East Asia; WPR=Western Pacific","WHO region"
"12","iso_numeric","Country identification",NA,"ISO numeric country/territory code"
"13","iso2","Country identification",NA,"ISO 2-character country/territory code"
"14","iso3","Country identification",NA,"ISO 3-character country/territory code"
"15","exp_tot","Expenditure and utilisation",NA,"Total actual expenditure (US Dollars)"
"16","hcfvisit_dstb","Expenditure and utilisation",NA,"Typical number of visits to a health facility after diagnosis for patients starting first-line TB treatment"
"17","hcfvisit_mdr","Expenditure and utilisation",NA,"Typical number of visits to a health facility after diagnosis for patients starting MDR-TB/XDR-TB treatment"
"18","hosp_type_mdr","Expenditure and utilisation","2=Not applicable; 140=Primary-level hospital; 141=Secondary-level hospital; 142= Tertiary-level hospital","Type of facility most often used if MDR-TB patients are hospitalized"
"19","hospd_dstb_dur","Expenditure and utilisation",NA,"Estimated average duration of stay if patients starting first-line TB treatment are hospitalized (days)"
"20","hospd_dstb_prct","Expenditure and utilisation",NA,"Estimated percentage of patients starting first-line TB treatment that are hospitalized (%)"
"21","hospd_mdr_dur","Expenditure and utilisation",NA,"Estimated average duration of stay if patients starting MDR-TB/XDR-TB treatment are hospitalized (days)"
"22","hospd_mdr_prct","Expenditure and utilisation",NA,"Estimated percentage of patients starting MDR-TB/XDR-TB treatment that are hospitalized (%)"
"23","culture","Laboratories",NA,"Number of sites providing TB diagnostic services using culture at the end of the reporting year"
"24","dst_bdq","Laboratories",NA,"Number of sites providing TB diagnostic services using phenotypic drug susceptibility testing for bedaquiline at the end of the reporting year"
"25","dst_lzd","Laboratories",NA,"Number of sites providing TB diagnostic services using phenotypic drug susceptibility testing for linezolid at the end of the reporting year"
"26","dst_moxlev","Laboratories",NA,"Number of sites providing TB diagnostic services using phenotypic drug susceptibility testing for moxifloxacin and/or levofloxacin at the end of the reporting year"
"27","dst_naat_pza","Laboratories",NA,"Number of sites providing TB diagnostic services using drug susceptibility testing for pyrazinamide at the end of the reporting year"
"28","dx_test_sites","Laboratories",NA,"Total number of sites providing laboratory diagnostic testing for TB at the end of the reporting year"
"29","igra_used","Laboratories","0=No; 1=yes; 3=Don’t know","Were Interferon Gamma Release Assays (IGRA) used as tests of TB infection in the public or private sector before starting TB preventive treatment for any population at risk"
"30","iso15189_accredited","Laboratories",NA,"Number of sites with ISO15189 accreditation by the end of the reporting year"
"31","lmis","Laboratories",NA,"Number of sites which by the end of the reporting year record TB specimen reception and test results in a formal computer-based laboratory information system"
"32","m_fq","Laboratories",NA,"Number of sites providing TB diagnostic services using molecular tests for detection of fluoroquinolone resistance at the end of the reporting year"
"33","m_inh","Laboratories",NA,"Number of sites providing TB diagnostic services using molecular tests for detection of isoniazid resistance at the end of the reporting year"
"34","m_wrd","Laboratories",NA,"Number of sites providing TB diagnostic services using molecular WHO-recommended rapid diagnostics at the end of the reporting year"
"35","m_wrd_etrans","Laboratories",NA,"Number of sites using molecular WHO-recommended rapid diagnostics reported in variable m_wrd which by the end of the reporting year transmit results automatically to clinicians and to an information management system"
"36","m_wrd_tests_performed","Laboratories",NA,"Total number of diagnostic tests performed using molecular WHO-recommended rapid diagnostics"
"37","m_wrd_tests_positive","Laboratories",NA,"Number of positive results among the diagnostic tests performed using molecular WHO-recommended rapid diagnostics"
"38","qms_pending","Laboratories",NA,"Number of sites that by the end of the reporting year are not accredited and that are in the process of establishing a formal quality management system towards achieving accreditation"
"39","smear","Laboratories",NA,"Number of sites providing TB diagnostic services using smear microscopy (including fluorescent) at the end of the reporting year"
"40","tbst_used","Laboratories","0=No; 1=yes; 3=Don’t know","Were antigen-based skin tests (TBST) used as tests of TB infection in the public or private sector before starting TB preventive treatment for any population at risk"
"41","tst_used","Laboratories","0=No; 1=yes; 3=Don’t know","Were tuberculin skin tests (TST) used as tests of TB infection in the public or private sector before starting TB preventive treatment for any population at risk"
"42","agegroup_option","Notification","220=all defined in 2013 reporting framework plus 4-9 10-14 15-19 20-24 age groups; 221=all; 222=all except for 5-9 and 10-14 age groups; 223=only 0-4 5-14 and 15+ age groups","The set of age groups by which notifications have been disaggregated"
"43","c_newinc","Notification",NA,"Total of new and relapse cases and cases with unknown previous TB treatment history"
"44","conf_rr_fqr","Notification",NA,"Number of laboratory-confirmed TB cases that are resistant to rifampicin and resistant to any fluoroquinolone (pre-XDR-TB or XDR-TB)"
"45","conf_rr_fqr_tx","Notification",NA,"Number of patients with laboratory-confirmed resistance to rifampicin and resistance to any fluoroquinolone (i.e. with pre-XDR-TB or XDR-TB) who started treatment for pre-XDR-TB or XDR-TB."
"46","conf_rr_nfqr","Notification",NA,"Number of laboratory-confirmed TB cases with rifampicin resistance and with no known resistance to any fluoroquinolones"
"47","conf_rr_nfqr_tx","Notification",NA,"Number of patients with laboratory-confirmed resistance to rifampicin and with no known resistance to any fluoroquinolones who started treatment for MDR-TB. (This does not include patients treated for pre-XDR-TB or XDR-TB)."
"48","mdr_alloral_short_used","Notification","0=No; 1=Yes; 3=Don't know","Had any patients been started on all oral shorter MDR-TB treatment regimens by the end of the reporting year?"
"49","mdr_tx_adsm","Notification",NA,"Number of patients who started treatment for MDR-TB/pre-XDR-TB/XDR-TB in the reporting year who are also being actively monitored for adverse events"
"50","mdrxdr_alloral_used","Notification","0=No; 1=Yes; 3=Don't know","Had any patients been started on all oral longer MDR-TB treatment regimens by the end of reporting year?"
"51","mdrxdr_bpalm_used","Notification","0=No; 1=Yes; 3=Don't know","Had any patients been started on the all-oral BPaLM/BPaL regimen for the treatment of MDR/RR-TB or, pre-XDR-TB  by the end of reporting year?"
"52","new_clindx","Notification",NA,"New pulmonary clinically diagnosed TB cases (not bacteriologically confirmed as positive for TB, but diagnosed with active TB by a clinician or another medical practitioner who has decided to give the patient a full course of TB treatment).  It also includes pulmonary clinically diagnosed cases with unknown previous TB treatment history."
"53","new_ep","Notification",NA,"New extrapulmonary cases (bacteriologically confirmed or clinically diagnosed). As of 2013 this also includes extrapulmonary cases with unknown previous TB treatment history."
"54","new_labconf","Notification",NA,"New pulmonary bacteriologically confirmed TB cases (smear positive or culture positive or positive by WHO-recommended rapid diagnostics such as Xpert MTB/RIF). As of 2013 this also includes pulmonary bacteriologically confirmed cases with unknown previous TB treatment history."
"55","newrel_art","Notification",NA,"HIV-positive new and relapse (or all, if newrel_tbhiv_flg = 0 and year > 2015) TB patients started or continued on antiretroviral therapy"
"56","newrel_f014","Notification",NA,"New and relapse cases (but only new cases if rel_in_agesex_flg = 0): females aged 0-14 years"
"57","newrel_f04","Notification",NA,"New and relapse cases (but only new cases if rel_in_agesex_flg = 0): females aged 0-4 years"
"58","newrel_f1524","Notification",NA,"New and relapse cases (but only new cases if rel_in_agesex_flg = 0): females aged 15-24 years"
"59","newrel_f15plus","Notification",NA,"New and relapse cases (but only new cases if rel_in_agesex_flg = 0): females aged 15 years and over"
"60","newrel_f2534","Notification",NA,"New and relapse cases (but only new cases if rel_in_agesex_flg = 0): females aged 25-34 years"
"61","newrel_f3544","Notification",NA,"New and relapse cases (but only new cases if rel_in_agesex_flg = 0): females aged 35-44 years"
"62","newrel_f4554","Notification",NA,"New and relapse cases (but only new cases if rel_in_agesex_flg = 0): females aged 45-54 years"
"63","newrel_f514","Notification",NA,"New and relapse cases (but only new cases if rel_in_agesex_flg = 0): females aged 5-14 years"
"64","newrel_f5564","Notification",NA,"New and relapse cases (but only new cases if rel_in_agesex_flg = 0): females aged 55-64 years"
"65","newrel_f65","Notification",NA,"New and relapse cases (but only new cases if rel_in_agesex_flg = 0): females aged 65 years and over"
"66","newrel_fu","Notification",NA,"New and relapse cases (but only new cases if rel_in_agesex_flg = 0): females age unknown"
"67","newrel_hivpos","Notification",NA,"Number of new and relapse  (or all, if newrel_tbhiv_flg = 0 and year > 2015) TB patients recorded as HIV-positive"
"68","newrel_hivtest","Notification",NA,"Number of new and relapse (or all, if newrel_tbhiv_flg = 0 and year > 2015) TB patients tested for HIV at the time of TB diagnosis or with known HIV status at the time of TB diagnosis"
"69","newrel_m014","Notification",NA,"New and relapse cases (but only new cases if rel_in_agesex_flg = 0): males aged 0-14 years"
"70","newrel_m04","Notification",NA,"New and relapse cases (but only new cases if rel_in_agesex_flg = 0): males aged 0-4 years"
"71","newrel_m1524","Notification",NA,"New and relapse cases (but only new cases if rel_in_agesex_flg = 0): males aged 15-24 years"
"72","newrel_m15plus","Notification",NA,"New and relapse cases (but only new cases if rel_in_agesex_flg = 0): males aged 15 years and over"
"73","newrel_m2534","Notification",NA,"New and relapse cases (but only new cases if rel_in_agesex_flg = 0): males aged 25-34 years"
"74","newrel_m3544","Notification",NA,"New and relapse cases (but only new cases if rel_in_agesex_flg = 0): males aged 35-44 years"
"75","newrel_m4554","Notification",NA,"New and relapse cases (but only new cases if rel_in_agesex_flg = 0): males aged 45-54 years"
"76","newrel_m514","Notification",NA,"New and relapse cases (but only new cases if rel_in_agesex_flg = 0): males aged 5-14 years"
"77","newrel_m5564","Notification",NA,"New and relapse cases (but only new cases if rel_in_agesex_flg = 0): males aged 55-64 years"
"78","newrel_m65","Notification",NA,"New and relapse cases (but only new cases if rel_in_agesex_flg = 0): males aged 65 years and over"
"79","newrel_mu","Notification",NA,"New and relapse cases (but only new cases if rel_in_agesex_flg = 0): males age unknown"
"80","newrel_tbhiv_flg","Notification","0=No; 1=Yes.","Are data on HIV testing, HIV positivity and provision of antiretroviral therapy (ART) restricted to new and relapse TB cases only?"
"81","notif_foreign","Notification",NA,"New and re-treatment TB cases among foreign-born individuals"
"82","nrr","Notification",NA,"Number of TB cases with no evidence of rifampicin resistance (either rifampicin susceptible or tests for susceptibility to rifampicin not done)"
"83","nrr_hpmz_used","Notification","0=No; 1=Yes; 3=Don't know","Had any patients been started on the 4-month HPMZ regimen for the treatment of rifampicin-susceptible TB by the end of reporting year?"
"84","nrr_tx","Notification",NA,"Number of TB cases with no evidence of rifampicin resistance (either rifampicin susceptible or tests for susceptibility to rifampicin not done) started on a regimen to treat rifampicin-susceptible TB"
"85","rdx_data_available","Notification","0=No; 60= Yes available from the routine surveillance system; 61=Yes estimated from a review of a random sample of medical records; 62= Yes available from the routine surveillance system disaggregated by case type","Are data available on the number of new and relapse cases tested using a WHO-recommended rapid diagnostic during the reporting year?"
"86","rel_in_agesex_flg","Notification","0=No; 1=Yes.","Are all relapse cases included with new cases in the disaggregations by age and sex?"
"87","ret_nrel","Notification",NA,"Previously treated patients, excluding relapse cases (pulmonary or extrapulmonary, bacteriologically confirmed or clinically diagnosed)"
"88","ret_rel_clindx","Notification",NA,"Relapse pulmonary clinically diagnosed TB cases (not bacteriologically confirmed as positive for TB, but diagnosed with active TB by a clinician or another medical practitioner who has decided to give the patient a full course of TB treatment)."
"89","ret_rel_ep","Notification",NA,"Relapse extrapulmonary cases (bacteriologically confirmed or clinically diagnosed)"
"90","ret_rel_labconf","Notification",NA,"Relapse  pulmonary bacteriologically confirmed TB cases (smear positive or culture positive or positive by WHO-recommended rapid diagnostics such as Xpert MTB/RIF)."
"91","rr_nfqr_014_tx","Notification",NA,"The number of children aged 0-14 years among patients who started treatment for MDR/RR-TB"
"92","unconf_rr_nfqr_tx","Notification",NA,"Number of patients (not laboratory-confirmed as having resistance to rifampicin and with no known resistance to any fluoroquinolones) who started treatment for MDR-TB. (This does not include patients treated for pre-XDR-TB or XDR-TB)."
